,state,pc_name,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors,state_clean
0,Andhra Pradesh,aruku,KISHORE CHANDRA DEO,MALE,72,ST,TDP,Bicycle,336163,1938,338101,1451418,andhra pradesh
1,Andhra Pradesh,aruku,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,MALE,54,ST,BJP,Lotus,17578,289,17867,1451418,andhra pradesh
2,Andhra Pradesh,aruku,GODDETI. MADHAVI,FEMALE,26,ST,YSRCP,Ceiling Fan,557561,4629,562190,1451418,andhra pradesh
3,Andhra Pradesh,aruku,SHRUTI DEVI VYRICHERLA,FEMALE,46,ST,INC,Hand,17656,74,17730,1451418,andhra pradesh
4,Andhra Pradesh,aruku,GANGULAIAH VAMPURU.,MALE,49,ST,JnP,Glass Tumbler,42245,549,42794,1451418,andhra pradesh
5,Andhra Pradesh,aruku,SWAMULA. SUBRAHMANYAM,MALE,50,ST,JAJGP,Mike,4705,5,4710,1451418,andhra pradesh
6,Andhra Pradesh,aruku,ANUMULA VAMSIKRISHNA,MALE,41,ST,IND,Helicopter,10211,29,10240,1451418,andhra pradesh
7,Andhra Pradesh,aruku,KANGALA BALUDORA,MALE,61,ST,IND,Cup & Saucer,13810,16,13826,1451418,andhra pradesh
8,Andhra Pradesh,aruku,NARAVA SATYAVATHI,FEMALE,37,ST,IND,Bangles,11231,5,11236,1451418,andhra pradesh
9,Andhra Pradesh,aruku,BIDDIKA RAMAYYA.,MALE,57,ST,IND,Battery Torch,7863,4,7867,1451418,andhra pradesh
10,Andhra Pradesh,aruku,NOTA,unknown,46,unkown,NOTA,unkown,47955,22,47977,1451418,andhra pradesh
11,Andhra Pradesh,srikakulam,KINJARAPU RAM MOHAN NAIDU,MALE,32,GENERAL,TDP,Bicycle,529213,5331,534544,1553860,andhra pradesh
12,Andhra Pradesh,srikakulam,DOLA JAGAN,MALE,53,GENERAL,INC,Hand,13456,289,13745,1553860,andhra pradesh
13,Andhra Pradesh,srikakulam,DUVVADA SRINIVAS,MALE,52,GENERAL,YSRCP,Ceiling Fan,520931,6960,527891,1553860,andhra pradesh
14,Andhra Pradesh,srikakulam,PERLA SAMBA MURTHY,MALE,58,GENERAL,BJP,Lotus,7357,1033,8390,1553860,andhra pradesh
